bout,sid,run_id,context,foul_raw_match,foul_type_guess,referee_paused,foul_resulted_in_deduction,fighter1,fighter2,bout_key,foul_committed_by,foul_idx
Lance Gibson Jr. (158.5) vs. Bobby Green (158.5),31,31,"gibson tosses out a low kick, and green's front kick response ricochets off the cup.",kick response ricochets off the cup,kick response ricochets off the cup,FALSE,FALSE,Lance Gibson Jr.,Bobby Green,jr vs green,Bobby Green,1
Lance Gibson Jr. (158.5) vs. Bobby Green (158.5),35,35,"gibson marches back and forth adjusting his cup, and green is hanging out waiting for the recovery time to elapse and talking to anyone without earshot who bothers listening.",NA,NA,FALSE,FALSE,Lance Gibson Jr.,Bobby Green,jr vs green,UNKNOWN,2
Lance Gibson Jr. (158.5) vs. Bobby Green (158.5),42,42,"green nearly grabs the fence a few times, and gibson drops down for a single.",grabs the fence,grabs the fence,FALSE,FALSE,Lance Gibson Jr.,Bobby Green,jr vs green,Bobby Green,3
Lance Gibson Jr. (158.5) vs. Bobby Green (158.5),65,65,"green moves himself to north-south position and starts unleashing heavy right hands to the body, and gibson is warned repeatedly for hooking his toes in the fence links.",toes in the fence,toes in the fence,FALSE,FALSE,Lance Gibson Jr.,Bobby Green,jr vs green,Bobby Green,4
Marcus Almeida (251.5) vs. Kennedy Nzechukwu (243),19,19,"nzechukwu plants a knee square on the groin, clacking off the cup with an audible popping sound as dean instantly calls time.","knee square on the groin, clacking off the cup","knee square on the groin, clacking off the cup",FALSE,FALSE,Marcus Almeida,Kennedy Nzechukwu,almeida vs nzechukwu,Kennedy Nzechukwu,1
Marcus Almeida (251.5) vs. Kennedy Nzechukwu (243),20,20,"almeida wanders to a neutral corner and drops to a crouch, grimacing as he massages his sore groin.",NA,NA,FALSE,FALSE,Marcus Almeida,Kennedy Nzechukwu,almeida vs nzechukwu,Marcus Almeida,2
Marcus Almeida (251.5) vs. Kennedy Nzechukwu (243),22,22,"jostling his cup around, he is good to go after about a minute.",NA,NA,FALSE,FALSE,Marcus Almeida,Kennedy Nzechukwu,almeida vs nzechukwu,UNKNOWN,3
Marcus Almeida (251.5) vs. Kennedy Nzechukwu (243),33,33,"the replay shows nzechukwu's fingers jamming into both of his opponent's eyes, and he needs the doctor to come in so he can wipe his eye out with a cloth.",fingers jamming into both of his opponent's eye,fingers jamming into both of his opponent's eye,FALSE,FALSE,Marcus Almeida,Kennedy Nzechukwu,almeida vs nzechukwu,Marcus Almeida,4
Marcus Almeida (251.5) vs. Kennedy Nzechukwu (243),56,56,"nzechukwu puts his fingers in the fence but pulls them out and apologizes to dean, who signals that nzechukwu did not actually grab on it and just pushed off.",fingers in the fence,fingers in the fence,FALSE,FALSE,Marcus Almeida,Kennedy Nzechukwu,almeida vs nzechukwu,Kennedy Nzechukwu,5
Marcus Almeida (251.5) vs. Kennedy Nzechukwu (243),57,57,"nzechukwu is seated while almeida has him from behind, and he gets away with a cheeky fence grab while almeida is looking to get top control.",fence grab,fence grab,FALSE,FALSE,Marcus Almeida,Kennedy Nzechukwu,almeida vs nzechukwu,Marcus Almeida,6
Cesar Almeida (186) vs. Cezary Oleksiejczuk (185.5),36,36,"one elbow pounds directly into almeida's cup in a very rare foul from that angle, and hatley takes a second and calls time.",pounds directly into almeida's cup,pounds directly into almeida's cup,FALSE,FALSE,Cesar Almeida,Cezary Oleksiejczuk,almeida vs oleksiejczuk,Cesar Almeida,1
